"Station Name","EUREKA A"
"Province","NUNAVUT"
"Latitude","79.98"
"Longitude","-85.93"
"Elevation","10.40"
"Climate Identifier","2401200"
"WMO Identifier","71917"
"TC Identifier","WEU"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-04","1951","04","-22.3","","-31.9","","-27.1","","-6.1","","-40.6","","0.0","","0.3","","0.3","","0","",,"",,""
"1951-05","1951","05","-3.8","","-10.8","","-7.3","","2.2","","-21.7","","0.0","","3.3","","3.3","","0","",,"",,""
"1951-06","1951","06","5.7","","-0.2","","2.8","","12.8","S","-12.2","","19.1","","0.0","","19.1","","0","",,"",,""
"1951-07","1951","07","8.9","","2.5","","5.7","","15.6","","0.0","","4.3","","0.0","T","4.3","","0","",,"",,""
"1951-08","1951","08","5.3","","0.6","","3.0","","13.3","","-3.3","","12.4","","0.3","","12.7","","0","",,"",,""
"1951-09","1951","09","-2.6","","-8.2","","-5.4","","3.3","","-21.1","","0.3","","2.5","","2.8","","0","",,"",,""
"1951-10","1951","10","-18.2","","-26.1","","-22.2","","-4.4","","-37.2","","0.0","","10.7","","10.7","","0","",,"",,""
"1951-11","1951","11","-24.7","","-33.1","","-28.9","","-11.1","","-40.0","S","0.0","","0.0","T","0.0","T","0","",,"",,""
"1951-12","1951","12","-35.7","","-41.8","","-38.8","","-23.3","","-48.3","S","0.0","","0.0","T","0.0","T","0","",,"",,""
"1952-01","1952","01","-32.9","","-41.5","","-37.2","","-4.4","","-51.1","","0.0","","2.5","","2.5","","0","",,"",,""
"1952-02","1952","02","-34.3","","-40.6","","-37.5","","-23.3","","-46.1","","0.0","","2.5","","2.5","","0","",,"",,""
"1952-03","1952","03","-35.3","","-41.4","","-38.4","","-20.0","","-48.3","","0.0","","5.1","","5.1","","0","",,"",,""
"1952-04","1952","04","-21.8","","-31.0","","-26.4","","-9.4","S","-44.4","S","0.0","","0.0","T","0.0","T","0","",,"",,""
"1952-05","1952","05","-0.7","","-7.5","","-4.1","","3.9","","-16.7","","0.0","","0.0","T","0.0","T","0","",,"",,""
"1952-06","1952","06","6.8","","1.3","","4.1","","13.3","S","-3.3","","0.0","T","2.5","","2.5","","0","",,"",,""
"1952-07","1952","07","10.2","","3.1","","6.7","","16.7","S","-1.1","","3.0","","7.6","","10.7","","0","",,"",,""
"1952-08","1952","08","5.9","","1.0","","3.5","","11.1","","-7.2","","1.0","","5.8","","6.9","","0","",,"",,""
"1952-09","1952","09","-5.4","","-12.0","","-8.7","","3.3","","-19.4","","0.0","","19.3","","19.3","","0","",,"",,""
"1952-10","1952","10","-20.4","","-26.1","","-23.3","","-10.6","","-35.0","S","0.0","","3.8","","3.8","","8","",,"",,""
"1952-11","1952","11","-28.1","","-34.7","","-31.4","","-16.1","","-40.6","","0.0","","1.5","","1.5","","10","",,"",,""
"1952-12","1952","12","-24.4","","-31.6","","-28.0","","-11.7","S","-38.9","","0.0","","2.5","","2.5","","13","",,"",,""
"1953-01","1953","01","-33.7","","-39.2","","-36.5","","-22.8","","-45.0","","0.0","","3.6","","3.6","","15","",,"",,""
"1953-02","1953","02","-36.9","","-42.3","","-39.6","","-20.0","","-48.9","S","0.0","","5.3","","5.3","","20","",,"",,""
"1953-03","1953","03","-30.2","","-37.6","","-33.9","","-14.4","","-50.6","","0.0","","1.8","","1.8","","23","",,"",,""
"1953-04","1953","04","-14.8","","-22.6","","-18.7","","-3.3","","-32.8","","0.0","","9.4","","9.4","","30","",,"",,""
"1953-05","1953","05","-5.7","","-12.4","","-9.1","","-1.1","S","-23.9","S","0.0","","8.9","","8.9","","28","",,"",,""
"1953-06","1953","06","3.9","","-0.7","","1.6","","8.3","","-4.4","","0.0","","2.5","","2.5","","3","",,"",,""
"1953-07","1953","07","6.9","","1.3","","4.1","","12.8","","-0.6","","30.5","","0.5","","31.0","","","M",,"",,""
"1953-08","1953","08","3.6","","-1.4","","1.1","","7.8","","-7.2","S","51.3","","7.4","","58.7","","","M",,"",,""
"1953-09","1953","09","-4.3","","-8.4","","-6.4","","3.9","","-20.6","","0.3","","15.2","","15.5","","","M",,"",,""
"1953-10","1953","10","-25.6","","-33.1","","-29.4","","-13.3","","-41.7","","0.0","","5.8","","5.8","","8","",,"",,""
"1953-11","1953","11","-25.2","","-33.2","","-29.2","","-15.0","","-41.1","","0.0","","6.9","","6.9","","13","",,"",,""
"1953-12","1953","12","-34.3","","-40.2","","-37.3","","-25.0","","-46.7","S","0.0","","3.8","","3.8","","","M",,"",,""
"1954-01","1954","01","-35.1","","-41.7","","-38.4","","-23.9","","-46.7","S","0.0","","2.3","","2.3","","15","",,"",,""
"1954-02","1954","02","-33.3","","-41.6","","-37.5","","-19.4","","-47.8","S","0.0","","3.3","","3.3","","18","",,"",,""
"1954-03","1954","03","-34.6","","-41.2","","-37.9","","-22.8","","-46.7","S","0.0","","3.3","","3.3","","20","",,"",,""
"1954-04","1954","04","-23.9","","-31.7","","-27.8","","-10.6","","-45.6","","0.0","","1.8","","1.8","","20","",,"",,""
"1954-05","1954","05","-5.7","","-12.9","","-9.3","","2.8","","-23.9","","0.0","","4.1","","4.1","","15","",,"",,""
"1954-06","1954","06","6.8","","0.5","","3.7","","16.1","","-7.2","","0.0","","0.3","","0.3","","","M",,"",,""
"1954-07","1954","07","8.2","","3.1","","5.7","","13.9","","0.0","","40.1","","0.0","T","40.1","","0","",,"",,""
"1954-08","1954","08","6.4","","2.6","","4.5","","11.1","","-1.7","","20.1","","0.0","T","20.1","","0","",,"",,""
"1954-09","1954","09","-1.3","","-5.2","","-3.3","","5.6","","-17.2","","0.8","","7.4","","8.1","","3","",,"",,""
"1954-10","1954","10","-15.7","","-22.3","","-19.0","","-7.2","","-34.4","S","0.0","","8.4","","8.4","","10","",,"",,""
"1954-11","1954","11","-26.1","","-32.7","","-29.4","","-17.2","","-38.9","","0.0","","2.3","","2.3","","10","",,"",,""
"1954-12","1954","12","-30.5","","-36.1","","-33.3","","-23.9","S","-41.7","S","0.0","","2.0","","2.0","","13","",,"",,""
"1955-01","1955","01","-31.3","","-36.6","","-34.0","","-17.8","S","-46.1","","0.0","","1.3","","1.3","","13","",,"",,""
"1955-02","1955","02","-33.2","","-39.9","","-36.6","","-14.4","","-48.9","","0.0","","1.8","","1.8","","15","",,"",,""
"1955-03","1955","03","-37.5","","-42.6","","-40.1","","-25.6","","-45.0","S","0.0","","0.5","","0.5","","15","",,"",,""
"1955-04","1955","04","-22.5","","-30.3","","-26.4","","-7.2","","-42.2","S","0.0","","2.0","","2.0","","18","",,"",,""
"1955-05","1955","05","-8.8","","-16.8","","-12.8","","0.6","","-28.3","","0.0","","0.5","","0.5","","15","",,"",,""
"1955-06","1955","06","2.6","","-0.1","","1.3","","6.1","","-6.1","","5.6","","2.0","","7.6","","0","",,"",,""
"1955-07","1955","07","5.8","","1.8","","3.8","","9.4","","-0.6","","6.6","","0.5","","7.1","","0","",,"",,""
"1955-08","1955","08","6.1","","1.4","","3.8","","13.3","","-3.3","","1.8","","0.0","T","1.8","","0","",,"",,""
"1955-09","1955","09","-4.8","","-8.9","","-6.9","","2.2","","-18.9","","0.0","T","4.8","","4.8","","3","",,"",,""
"1955-10","1955","10","-12.8","","-18.9","","-15.9","","1.7","","-31.1","S","0.0","","26.2","","26.2","","28","",,"",,""
"1955-11","1955","11","-26.9","","-32.9","","-29.9","","-5.6","","-42.8","S","0.0","","1.3","","1.3","","28","",,"",,""
"1955-12","1955","12","-34.2","","-40.0","","-37.1","","-22.2","","-46.7","","0.0","","2.3","","2.3","","30","",,"",,""
"1956-01","1956","01","-33.1","","-39.9","","-36.5","","-12.2","","-48.9","S","0.0","","3.6","","3.6","","36","",,"",,""
"1956-02","1956","02","-32.3","","-39.2","","-35.8","","-18.3","","-48.3","","0.0","","0.0","T","0.0","T","36","",,"",,""
"1956-03","1956","03","-34.9","","-40.3","","-37.6","","-21.7","","-52.2","","0.0","","0.5","","0.5","","36","",,"",,""
"1956-04","1956","04","-18.5","","-27.0","","-22.8","","-8.9","","-38.3","","0.0","","1.3","","1.3","","36","",,"",,""
"1956-05","1956","05","-10.4","","-17.1","","-13.8","","-1.1","","-25.6","","0.0","","0.0","T","0.0","T","36","",,"",,""
"1956-06","1956","06","3.1","","-1.3","","0.9","","11.1","S","-13.3","","0.0","T","0.3","","0.3","","0","",,"",,""
"1956-07","1956","07","7.7","","3.3","","5.5","","14.4","","1.1","S","15.2","","0.0","T","15.2","","0","",,"",,""
"1956-08","1956","08","4.9","","1.1","","3.0","","12.8","","-6.1","","4.8","","0.3","","5.1","","0","T",,"",,""
"1956-09","1956","09","-9.9","","-13.2","","-11.6","","-0.6","","-26.1","","0.0","","0.8","","0.8","","0","T",,"",,""
"1956-10","1956","10","-20.6","","-28.2","","-24.4","","-7.8","","-37.8","","0.0","","2.8","","2.8","","3","",,"",,""
"1956-11","1956","11","-29.7","","-35.3","","-32.5","","-17.2","","-42.2","S","0.0","","1.3","","1.3","","3","",,"",,""
"1956-12","1956","12","-34.4","","-39.3","","-36.9","","-24.4","","-45.0","","0.0","","0.5","","0.5","","3","",,"",,""
"1957-01","1957","01","-37.5","","-43.4","","-40.5","","-23.3","S","-48.9","S","0.0","","3.0","","3.0","","8","",,"",,""
"1957-02","1957","02","-32.6","","-38.8","","-35.7","","-16.1","","-44.4","","0.0","","1.3","","1.3","","8","",,"",,""
"1957-03","1957","03","-32.7","","-39.5","","-36.1","","-15.6","","-46.1","","0.0","","1.3","","1.3","","10","",,"",,""
"1957-04","1957","04","-27.3","","-35.4","","-31.4","","-21.1","S","-41.1","","0.0","","0.8","","0.8","","10","",,"",,""
"1957-05","1957","05","-7.3","","-14.1","","-10.7","","0.0","S","-31.1","","0.0","","0.0","T","0.0","T","8","",,"",,""
"1957-06","1957","06","8.1","","1.3","","4.7","","17.8","","-6.1","","0.0","","0.5","","0.5","","0","",,"",,""
"1957-07","1957","07","9.8","","3.6","","6.7","","15.6","","1.1","S","13.2","","0.0","","13.2","","0","",,"",,""
"1957-08","1957","08","5.1","","0.7","","2.9","","11.7","","-5.6","","22.6","","0.8","","23.4","","0","",,"",,""
"1957-09","1957","09","-3.8","","-9.4","","-6.6","","3.3","","-25.6","","0.0","","24.4","","24.4","","15","",,"",,""
"1957-10","1957","10","-15.8","","-24.1","","-20.0","","-3.3","","-34.4","","0.0","","9.1","","9.1","","15","",,"",,""
"1957-11","1957","11","-30.6","","-37.1","","-33.9","","-16.7","","-44.4","S","0.0","","1.3","","1.3","","18","",,"",,""
"1957-12","1957","12","-39.0","","-44.0","","-41.5","","-18.9","S","-49.4","","0.0","","2.5","","2.5","","18","",,"",,""
"1958-01","1958","01","-25.2","","-32.9","","-29.1","","-1.1","","-47.2","","0.0","","7.9","","7.9","","23","",,"",,""
"1958-02","1958","02","-33.1","","-40.6","","-36.9","","-18.9","S","-52.2","","0.0","","1.3","","1.3","","23","",,"",,""
"1958-03","1958","03","-32.8","","-40.0","","-36.4","","-13.9","","-47.2","","0.0","","1.0","","1.0","","23","",,"",,""
"1958-04","1958","04","-25.3","","-33.8","","-29.6","","-11.1","","-45.0","","0.0","","0.5","","0.5","","23","",,"",,""
"1958-05","1958","05","-5.7","","-12.3","","-9.0","","-1.1","","-21.1","","0.0","","2.0","","2.0","","20","",,"",,""
"1958-06","1958","06","4.4","","-0.5","","2.0","","11.1","S","-10.0","","0.8","","0.0","","0.8","","0","",,"",,""
"1958-07","1958","07","10.3","","1.3","","5.8","","18.9","","-1.7","","1.8","","0.0","","1.8","","0","",,"",,""
"1958-08","1958","08","7.7","","1.3","","4.5","","11.7","S","-1.7","S","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1958-09","1958","09","-3.3","","-8.1","","-5.7","","5.0","","-16.1","","0.0","T","8.4","","8.4","","5","",,"",,""
"1958-10","1958","10","-16.4","","-23.5","","-20.0","","-3.9","","-38.3","","0.0","","13.2","","13.2","","15","",,"",,""
"1958-11","1958","11","-28.2","","-36.5","","-32.4","","-15.6","","-42.8","S","0.0","","1.5","","1.5","","15","",,"",,""
"1958-12","1958","12","-26.2","","-33.2","","-29.7","","-10.6","","-41.7","S","0.0","","3.6","","3.6","","18","",,"",,""
"1959-01","1959","01","-27.8","","-36.2","","-32.0","","-11.7","","-44.4","S","0.0","","3.6","","3.6","","20","",,"",,""
"1959-02","1959","02","-34.9","","-42.1","","-38.5","","-20.6","","-48.3","S","0.0","","0.5","","0.5","","20","",,"",,""
"1959-03","1959","03","-36.9","","-42.1","","-39.5","","-30.0","","-46.7","S","0.0","","0.3","","0.3","","20","",,"",,""
"1959-04","1959","04","-23.2","","-32.2","","-27.7","","-12.2","S","-45.0","","0.0","","1.8","","1.8","","20","",,"",,""
"1959-05","1959","05","-9.6","","-17.0","","-13.3","","-0.6","","-26.7","","0.0","","3.3","","3.3","","20","",,"",,""
"1959-06","1959","06","4.1","","-1.6","","1.3","","10.6","","-11.7","","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1959-07","1959","07","10.1","","2.3","","6.2","","16.7","S","-2.2","","3.8","","0.0","","3.8","","0","",,"",,""
"1959-08","1959","08","7.9","","2.5","","5.2","","13.9","","-2.2","","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1959-09","1959","09","-4.8","","-10.8","","-7.8","","0.6","","-20.6","S","0.0","","14.0","","14.0","","10","",,"",,""
"1959-10","1959","10","-20.1","","-28.3","","-24.2","","-10.6","S","-39.4","S","0.0","","2.3","","2.3","","13","",,"",,""
"1959-11","1959","11","-24.6","","-34.0","","-29.3","","-3.9","","-44.4","","0.0","","1.5","","1.5","","15","",,"",,""
"1959-12","1959","12","-30.3","","-39.6","","-35.0","","-13.9","","-48.9","","0.0","","1.5","","1.5","","18","",,"",,""
"1960-01","1960","01","-31.6","","-40.5","","-36.1","","-14.4","S","-50.6","S","0.0","","0.3","","0.3","","18","",,"",,""
"1960-02","1960","02","-31.6","","-38.4","","-35.0","","-12.2","","-46.7","S","0.0","","0.8","","0.8","","18","",,"",,""
"1960-03","1960","03","-36.0","","-42.9","","-39.5","","-26.1","","-51.1","","0.0","","0.0","T","0.0","T","18","",,"",,""
"1960-04","1960","04","-25.0","","-34.7","","-29.9","","-11.7","","-42.8","","0.0","","1.0","","1.0","","18","",,"",,""
"1960-05","1960","05","-4.7","","-10.8","","-7.8","","1.7","","-24.4","","0.0","","5.6","","5.6","","15","",,"",,""
"1960-06","1960","06","7.2","","1.6","","4.4","","17.2","","-2.2","","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1960-07","1960","07","9.2","","3.9","","6.6","","15.0","","1.1","","28.2","","0.0","","28.2","","0","",,"",,""
"1960-08","1960","08","9.2","","3.4","","6.3","","15.0","","-1.7","","6.4","","0.0","","6.4","","0","",,"",,""
"1960-09","1960","09","-3.3","","-6.8","","-5.1","","2.2","","-18.3","S","0.0","","9.1","","9.1","","8","",,"",,""
"1960-10","1960","10","-13.9","","-21.1","","-17.5","","-1.1","S","-33.3","","0.0","","5.3","","5.3","","10","",,"",,""
"1960-11","1960","11","-25.8","","-32.6","","-29.2","","-13.9","","-41.7","S","0.0","","1.5","","1.5","","10","",,"",,""
"1960-12","1960","12","-30.6","","-37.5","","-34.1","","-13.3","","-41.7","S","0.0","","1.5","","1.5","","13","",,"",,""
"1961-01","1961","01","-34.4","","-40.8","","-37.6","","-26.7","","-49.4","","0.0","","3.8","","3.8","","15","",,"",,""
"1961-02","1961","02","-34.7","","-41.6","","-38.2","","-17.8","","-47.8","","0.0","","1.3","","1.3","","18","",,"",,""
"1961-03","1961","03","-36.7","","-42.7","","-39.7","","-22.8","","-51.1","","0.0","","0.0","T","0.0","T","18","",,"",,""
"1961-04","1961","04","-20.1","","-28.8","","-24.5","","-6.7","","-43.3","","0.0","","2.0","","2.0","","18","",,"",,""
"1961-05","1961","05","-9.9","","-17.9","","-13.9","","0.0","","-28.3","","0.0","","0.0","T","0.0","T","15","",,"",,""
"1961-06","1961","06","2.4","","-2.2","","0.1","","8.3","","-9.4","","4.6","","1.8","","6.4","","0","",,"",,""
"1961-07","1961","07","7.3","","1.7","","4.5","","11.1","","-2.2","S","44.2","","0.0","","44.2","","0","",,"",,""
"1961-08","1961","08","5.4","","-1.1","","2.2","","15.6","","-6.7","","0.5","","0.3","","0.8","","0","",,"",,""
"1961-09","1961","09","-10.7","","-17.5","","-14.1","","0.0","","-31.7","","0.0","","8.1","","8.1","","8","",,"",,""
"1961-10","1961","10","-20.0","","-29.1","","-24.6","","-5.6","","-38.3","S","0.0","","0.8","","0.8","","8","",,"",,""
"1961-11","1961","11","-24.1","","-31.4","","-27.8","","-13.9","S","-45.0","","0.0","","1.8","","1.8","","13","",,"",,""
"1961-12","1961","12","-27.3","","-34.8","","-31.1","","-16.1","","-43.3","S","0.0","","3.8","","3.8","","18","",,"",,""
"1962-01","1962","01","-31.4","","-38.4","","-34.9","","-16.1","","-46.7","","0.0","","2.3","","2.3","","20","",,"",,""
"1962-02","1962","02","-35.0","","-43.1","","-39.1","","-20.6","","-46.7","","0.0","","2.5","","2.5","","23","",,"",,""
"1962-03","1962","03","-28.2","","-36.1","","-32.2","","-15.0","S","-44.4","","0.0","","4.6","","4.6","","25","",,"",,""
"1962-04","1962","04","-19.7","","-28.2","","-24.0","","-8.9","","-41.1","S","0.0","","0.8","","0.8","","25","",,"",,""
"1962-05","1962","05","-6.2","","-13.2","","-9.7","","1.1","","-22.2","","0.0","","2.3","","2.3","","13","",,"",,""
"1962-06","1962","06","6.3","","0.4","","3.4","","11.7","","-9.4","S","2.0","","10.2","","12.2","","0","",,"",,""
"1962-07","1962","07","11.3","","3.7","","7.5","","18.3","","1.1","S","8.9","","0.0","","8.9","","0","",,"",,""
"1962-08","1962","08","6.9","","1.2","","4.1","","16.1","S","-3.3","S","5.1","","3.0","","8.1","","0","",,"",,""
"1962-09","1962","09","-5.2","","-11.0","","-8.1","","1.7","S","-22.2","","0.0","","26.2","","26.2","","18","",,"",,""
"1962-10","1962","10","-20.6","","-29.0","","-24.8","","-9.4","","-38.3","","0.0","","5.6","","5.6","","25","",,"",,""
"1962-11","1962","11","-26.9","","-34.3","","-30.6","","-17.2","","-40.6","","0.0","","0.5","","0.5","","15","",,"",,""
"1962-12","1962","12","-26.9","","-35.6","","-31.3","","-13.9","","-44.4","","0.0","","1.3","","1.3","","15","",,"",,""
"1963-01","1963","01","-33.4","","-40.5","","-37.0","","-22.2","S","-48.9","","0.0","","4.6","","4.6","","20","",,"",,""
"1963-02","1963","02","-30.9","","-39.7","","-35.3","","-1.1","S","-47.2","S","0.0","","7.6","","7.6","","25","",,"",,""
"1963-03","1963","03","-35.6","","-42.4","","-39.0","","-23.9","","-47.8","","0.0","","2.8","","2.8","","28","",,"",,""
"1963-04","1963","04","-20.3","","-30.6","","-25.5","","-10.0","","-46.7","","0.0","","2.0","","2.0","","28","",,"",,""
"1963-05","1963","05","-9.6","","-17.3","","-13.5","","-3.3","","-25.6","S","0.0","","1.5","","1.5","","25","",,"",,""
"1963-06","1963","06","2.4","","-1.6","","0.4","","8.3","","-8.9","","2.8","","0.8","","3.6","","0","",,"",,""
"1963-07","1963","07","8.9","","2.7","","5.8","","15.0","","-1.1","S","0.3","","0.0","","0.3","","0","",,"",,""
"1963-08","1963","08","5.4","","0.2","","2.8","","13.3","","-6.1","","3.8","","2.0","","5.8","","0","",,"",,""
"1963-09","1963","09","-7.0","","-12.2","","-9.6","","1.1","","-25.0","","0.0","","4.8","","3.0","","3","",,"",,""
"1963-10","1963","10","-17.4","","-25.2","","-21.3","","-6.1","S","-36.7","","0.0","","5.3","","3.8","","3","",,"",,""
"1963-11","1963","11","-22.8","","-30.2","","-26.5","","-3.9","","-41.7","","0.0","","9.9","","6.4","","10","",,"",,""
"1963-12","1963","12","-28.7","","-36.1","","-32.4","","-15.0","","-42.2","","0.0","","2.0","","1.0","","10","",,"",,""
